scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CC,baseline,none,task,215692,0.5882693841218033,0.38453546851655324,14,215678,148,3993,0.0006862081436215099,0.018513710253247898,26.97972972972973
CC,baseline,none,social,184616,0.5789422368592104,0.3230605962767158,14,184602,88,2941,0.00047670122750566085,0.015931571705615325,33.42045454545455
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,mean,400308,0.5886944182108986,0.35924577251121004,28,400280,236,1945,0.0005895872888977715,0.004859098630958329,8.241525423728813
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,mean,400308,0.5925981147860131,0.362943448783721,28,400280,236,1440,0.0005895872888977715,0.003597481762766064,6.101694915254237
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,mean,400308,0.5843163977821388,0.3546375138398573,28,400280,236,3668,0.0005895872888977715,0.009163585490156891,15.542372881355933
CC,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,mean,400308,0.5847628323193129,0.35484507879842114,28,400280,236,3130,0.0005895872888977715,0.007819526331567902,13.26271186440678
CC,hmm_uniform_start,mix=0.5;strength=12;alpha=1,mean,400308,0.5986747628391882,0.37082241477378813,28,400280,236,882,0.0005895872888977715,0.002203457579694214,3.73728813559322
CC,hmm_uniform_start,mix=0.5;strength=1;alpha=1,mean,400308,0.5865283928165763,0.35700907868657766,28,400280,236,2567,0.0005895872888977715,0.006413010892375337,10.877118644067796
CC,hmm_uniform_start,mix=0.5;strength=2;alpha=1,mean,400308,0.5887887269421507,0.3596070265479604,28,400280,236,2011,0.0005895872888977715,0.005023983211751773,8.521186440677965
CC,hmm_uniform_start,mix=0.5;strength=4;alpha=1,mean,400308,0.5928835901386031,0.36391903644615586,28,400280,236,1495,0.0005895872888977715,0.003734885580093934,6.334745762711864
CC,hmm_uniform_start,mix=0.5;strength=8;alpha=1,mean,400308,0.5953651262990001,0.3672306738404788,28,400280,236,1068,0.0005895872888977715,0.0026681323073848304,4.52542372881356
CC,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,mean,400308,0.5846039602164601,0.3547419583379781,28,400280,236,3319,0.0005895872888977715,0.008291695812930948,14.063559322033898
CC,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,mean,400308,0.5863003005592167,0.35688028667062555,28,400280,236,2747,0.0005895872888977715,0.006862696112721095,11.639830508474576
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,mean,400308,0.6038224454094898,0.37693390004711924,28,400280,236,688,0.0005895872888977715,0.0017187968422104527,2.9152542372881354
CC,hmm_uniform_start,mix=0.75;strength=1;alpha=1,mean,400308,0.5873370753604142,0.3578953559985065,28,400280,236,2187,0.0005895872888977715,0.005463675427200959,9.266949152542374
CC,hmm_uniform_start,mix=0.75;strength=2;alpha=1,mean,400308,0.5911214259582707,0.3623821045439486,28,400280,236,1656,0.0005895872888977715,0.004137104027180974,7.016949152542373
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,mean,400308,0.5954357455426128,0.3670463279048851,28,400280,236,1187,0.0005895872888977715,0.0029654242030578595,5.029661016949152
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,mean,400308,0.5999922355677652,0.3725522281076187,28,400280,236,861,0.0005895872888977715,0.002150994303987209,3.6483050847457625
CC,hmm_uniform_start,mix=1;strength=0.25;alpha=1,mean,400308,0.5868549756531936,0.35769431016786674,28,400280,236,2384,0.0005895872888977715,0.00595583091835715,10.101694915254237
CC,hmm_uniform_start,mix=1;strength=0.5;alpha=1,mean,400308,0.589955270271465,0.36071370658713797,28,400280,236,1785,0.0005895872888977715,0.004459378435095434,7.563559322033898
CC,hmm_uniform_start,mix=1;strength=12;alpha=1,mean,400308,0.6181060247440071,0.3911254327751831,28,400280,236,313,0.0005895872888977715,0.0007819526331567903,1.326271186440678
CC,hmm_uniform_start,mix=1;strength=1;alpha=1,mean,400308,0.5936817654007049,0.3647850802744026,28,400280,236,1316,0.0005895872888977715,0.0032876986109723195,5.576271186440678
CC,hmm_uniform_start,mix=1;strength=2;alpha=1,mean,400308,0.597221440045113,0.3691929565702476,28,400280,236,952,0.0005895872888977715,0.002378335165384231,4.033898305084746
CC,hmm_uniform_start,mix=1;strength=4;alpha=1,mean,400308,0.6055488827927534,0.38014289302884174,28,400280,236,654,0.0005895872888977715,0.0016338563005895872,2.7711864406779663
CC,hmm_uniform_start,mix=1;strength=8;alpha=1,mean,400308,0.6135195275322538,0.38713420170373447,28,400280,236,397,0.0005895872888977715,0.0009918057359848105,1.6822033898305084
