scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,mean,82641,0.4625319770251457,0.24532761770746747,9,82632,31,345,0.0003751573240391132,0.004175137961080453,11.129032258064516
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,mean,82641,0.4660363996370882,0.2502113965243141,9,82632,31,242,0.0003751573240391132,0.0029286474973375934,7.806451612903226
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,mean,82641,0.46616579558132465,0.24935829425713163,9,82632,31,142,0.0003751573240391132,0.0017184625810823895,4.580645161290323
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,mean,82641,0.45732306028389436,0.23781042619368037,9,82632,31,536,0.0003751573240391132,0.006486591151127892,17.29032258064516
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,mean,82641,0.4602671100095671,0.24187438139652434,9,82632,31,399,0.0003751573240391132,0.004828637815858263,12.870967741935484
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,mean,82641,0.4782307980769468,0.27720570591871435,9,82632,31,41,0.0003751573240391132,0.0004961758156646336,1.3225806451612903
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,mean,82641,0.4636950168439563,0.24729338682562732,9,82632,31,282,0.0003751573240391132,0.0034127214638396746,9.096774193548388
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,mean,82641,0.468161879194581,0.2510718960690273,9,82632,31,188,0.0003751573240391132,0.002275147642559783,6.064516129032258
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,mean,82641,0.46287592639503394,0.2426763347566315,9,82632,31,114,0.0003751573240391132,0.0013796108045309324,3.6774193548387095
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,mean,82641,0.4702961119446663,0.2611847340082434,9,82632,31,58,0.0003751573240391132,0.0007019072514280181,1.8709677419354838
